"In_sample","theta","alpha","lambda","rho","mae","rmse"
1,8,0,0.0117876863479359,0.996136929365716,0.0456699438636335,0.086908110442064
1,8,0,0.0117876863479359,0.999458554543658,0.0213373891616163,0.0331970390508745
1,8,0,0.0117876863479359,0.998972481379954,0.0254785635501141,0.0452745954476117
1,8,0,0.0117876863479359,0.999326275424014,0.02377213331124,0.0376152146349298
1,8,0,0.0117876863479359,0.997119551351117,0.0523512556207045,0.0766562405629269
1,8,0,0.0117876863479359,0.997246424873958,0.0497839232984499,0.0773302831478068
1,8,0,0.0117876863479359,0.999341678805915,0.027881752036413,0.0369923748117938
1,8,0,0.0117876863479359,0.999389647291721,0.0258861795592755,0.0353973047025456
1,8,0,0.000999999999999999,0.994772447922795,0.0499359985702203,0.101895567721629
1,8,0,0.000999999999999999,0.998776031950291,0.0313859224940653,0.0498746161435046
1,8,0,0.000999999999999999,0.998828556782959,0.0288848506973065,0.0486292707632849
1,8,0,0.000999999999999999,0.998801120608197,0.0370108141959813,0.0487501721304753
1,8,0,0.000999999999999999,0.99925413500695,0.0277490702506195,0.038732385857907
1,8,0,0.000999999999999999,0.993622462147376,0.0519756088649116,0.11262204127338
1,8,0,0.000999999999999999,0.997262400854211,0.0429090641523203,0.0741917116855345
1,8,0,0.000999999999999999,0.997671446179718,0.0456142576092609,0.0684025055851798
1,8,0,0.0117876863479359,0.995372717241863,0.0430368578925434,0.0957528023388111
1,8,0,0.0117876863479359,0.990562692532132,0.0485304360482944,0.136266999366445
1,8,0,0.0117876863479359,0.999633414760486,0.021174955468321,0.0276408584415655
1,8,0,0.0117876863479359,0.998204128274541,0.0312946845544534,0.059936801615754
1,8,0,0.0117876863479359,0.999220661121782,0.0249325479810967,0.039626174444711
1,8,0,0.0117876863479359,0.997872588331826,0.0416999849562861,0.0652757822107829
1,8,0,0.0117876863479359,0.999329887360903,0.027742195285423,0.0372353017064864
1,8,0,0.0117876863479359,0.999577242152791,0.0225039205779511,0.0291324627689066
1,8,0.025,0.000999999999999999,0.997818427687611,0.0356549476708165,0.0652161305684238
1,8,0.025,0.000999999999999999,0.997134674325072,0.0407836424044665,0.0765729785635656
1,8,0.025,0.000999999999999999,0.99495294745302,0.0468023470168159,0.105182885089603
1,8,0.025,0.000999999999999999,0.99956713155412,0.0233947917300717,0.0301534184182052
1,8,0.025,0.000999999999999999,0.999179205705449,0.0322317883274584,0.0414570870720247
1,8,0.025,0.000999999999999999,0.999266283387535,0.0285545984347655,0.0391457080088414
1,8,0.025,0.000999999999999999,0.999005158561157,0.029225784359752,0.0447077222210232
1,8,0.025,0.000999999999999999,0.999309724840842,0.0269416391621461,0.0379526146246605
1,4,0.025,0.00439397056076079,0.999621746010882,0.0192791374548005,0.0274584321557887
1,4,0.025,0.00439397056076079,0.993537616078857,0.0794810939203569,0.115458301918299
1,4,0.025,0.00439397056076079,0.997747564173979,0.0517134585766716,0.0684429131320512
1,4,0.025,0.00439397056076079,0.997980915453822,0.0381350994763585,0.0643042846312524
1,4,0.025,0.00439397056076079,0.996978836556662,0.0312516728710846,0.077978228987521
1,4,0.025,0.00439397056076079,0.996376460272769,0.0317561712012905,0.0857702616512429
1,4,0.025,0.00439397056076079,0.998895363622699,0.0381480480891124,0.0505179876709581
1,4,0.025,0.00439397056076079,0.968063366957274,0.0747088398088664,0.255598273316029
1,8,0.025,0.000999999999999999,0.999440112884638,0.0269757293897855,0.0337173552691744
1,8,0.025,0.000999999999999999,0.996379817081757,0.0358126950736962,0.0861555846990443
1,8,0.025,0.000999999999999999,0.997837888038673,0.0479538503893792,0.0662898197683166
1,8,0.025,0.000999999999999999,0.999120661412252,0.0334003034745113,0.0424331118027502
1,8,0.025,0.000999999999999999,0.970779498096684,0.048422361390749,0.258608379511087
1,8,0.025,0.000999999999999999,0.997160479934195,0.0431553376771708,0.075688760477047
1,8,0.025,0.000999999999999999,0.993137751945102,0.0647470377649169,0.115374716958503
1,8,0.025,0.000999999999999999,0.997311439567947,0.0431895477836894,0.0734248710194798
1,8,0,0.000999999999999999,0.992700473980984,0.0384546943252036,0.121407263764997
1,8,0,0.000999999999999999,0.998715358475425,0.0379878923725834,0.0511433586424328
1,8,0,0.000999999999999999,0.99870410591719,0.0336194274825273,0.0541664576460984
1,8,0,0.000999999999999999,0.998950246261815,0.0247932357571161,0.0460019865229376
1,8,0,0.000999999999999999,0.99799947379938,0.0315945173558723,0.0637822289236606
1,8,0,0.000999999999999999,0.999373777885978,0.0265342501393193,0.0354937042759896
1,8,0,0.000999999999999999,0.998409152088344,0.0431073324216601,0.0576121452273013
1,8,0,0.000999999999999999,0.997546304894406,0.0380318504949891,0.0703573490848423
1,6,0,0.000999999999999999,0.997364307083993,0.0471713733640241,0.0718686124098433
1,6,0,0.000999999999999999,0.9979280231849,0.0440632180893668,0.0665952413941154
1,6,0,0.000999999999999999,0.998703704171703,0.036172496854056,0.050820648697249
1,6,0,0.000999999999999999,0.998944045701007,0.0360010616750869,0.0473660686320915
1,6,0,0.000999999999999999,0.99682326514909,0.0547773391783403,0.0822375181761421
1,6,0,0.000999999999999999,0.999658365954637,0.0205785691246991,0.0264031024583405
1,6,0,0.000999999999999999,0.999491760382158,0.0212282533435815,0.0318964950856979
1,6,0,0.000999999999999999,0.999194074405795,0.0275030380568353,0.0402945320491474
1,8,0,0.0117876863479359,0.998596678090897,0.0264599387213253,0.052852931362515
1,8,0,0.0117876863479359,0.997449107252919,0.0364166243630324,0.0713652317551644
1,8,0,0.0117876863479359,0.996843574230717,0.0480453568446077,0.0801966695125358
1,8,0,0.0117876863479359,0.999183410532716,0.0312793054272245,0.0412166925498362
1,8,0,0.0117876863479359,0.999188626463804,0.032269111521799,0.0413912633143138
1,8,0,0.0117876863479359,0.999391384847322,0.0236314153712365,0.0352003679418291
1,8,0,0.0117876863479359,0.998819941963774,0.0297311311286215,0.0485622199208673
1,8,0,0.0117876863479359,0.99950083923106,0.0211687759956272,0.0316653597152474
1,8,0.025,0.000999999999999999,0.998536528818827,0.029212906546209,0.0540091282059315
1,8,0.025,0.000999999999999999,0.996017960543814,0.0540052248808166,0.0892595391217341
1,8,0.025,0.000999999999999999,0.99962895551107,0.0213733111379343,0.0275954599635988
1,8,0.025,0.000999999999999999,0.999035588551152,0.0270013469877702,0.0441411723799099
1,8,0.025,0.000999999999999999,0.998922089915374,0.0351504147507122,0.046703936989771
1,8,0.025,0.000999999999999999,0.996345527370965,0.0404922476432614,0.0824145682748425
1,8,0.025,0.000999999999999999,0.998841432976572,0.0358585265592546,0.0493395354659441
1,8,0.025,0.000999999999999999,0.994131185888708,0.049272176161693,0.108669749111685
