"time","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81"
1,0.123999166896252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569860105421781,0,0,0,0,0,0,-0.0312759842798446,0,0,0,0,0,0,-0.0360891231604714,0,-0.039463361600528,0,0,-0.00440948856437917,0,0,0,0,0,-0.0421420398832167,0,0,-0.0214255898851296,0,0,0,0,0,-0.0401290389198342,0,0,0,0,0,-0.0752360134928538,0,0,0,0,0,0,0,0,0,0,-0.0431544171237967,0,0,0,0,0,0
1,-0.227218888973411,-0.105467561172819,0,-0.212662141808456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0420822691718641,0,0,0,0,0,0,-0.0609299336639039,0,-0.0704353721954437,0,0,0,0,0,0,0,0,0,0,0,-0.0260316975528466,0,0,-0.142203189717941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0827194498904816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,-0.397416055900841,0,0,-0.137339989059151,0,0,0,0,0,0,0,-0.21403258437112,0,0,-0.208845105014797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952305924401941,0,0,0,-0.0298558620683778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067370124494004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.0263648098107691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00912721042061797,0,0,0,0,0,-0.145424567784446,0,0,0,0,0,0,-0.0136126982089291,-0.0326925564521416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436461152799295,0,0,0,0,-0.185308579281963,0,0,0,0,0,0,0,0,0,-0.030982089424605,0,-0.168980360420225,0,0,0,0
1,0,0,0,0,0.238061406992844,0,0,0,0,0,-0.0185708334847225,-0.0133241146102423,0,0,0,0,-0.0479358295068625,0,0,0,-0.00232791277220885,0,-0.0215052718516575,0,0,0,-0.0414265461430603,0,0,0,0,0,0,0,-0.000415760325998782,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211783058434427,-0.00266463303869778,0,0,0,0,0,-0.0393446411430055,0,0,-0.00652983755889306,0,0,0,0,0,0,0,-0.0256585308086439,-0.0110764050450255,-0.0384714453647325,0,0,-0.0101073703699774,0,0,0,0,0,0,-0.0332366250963577,0,0
1,0,-0.00591527252337325,0,0,0,0.188946075048933,-0.054736113425443,0,0,0,0,0,-0.0460044361003458,-0.0162673074834456,0,-0.0149071721902275,0,-0.0509278683996595,0,0,0,0,-0.0226580786913688,0,0,0,0,0,-0.00561286862129472,0,0,0,0,0,0,0,-0.00819031454555839,0,0,0,0,-0.0555710297665961,-0.0315716928177209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292514605443112,0,0,0,0,0,-0.0378944300573953,0,-0.0407837528768042,0,0
1,0,0,-0.0537903424345385,0,0,0,0.079970567684768,0,0,0,0,0,0,0,-0.0457726934766567,0,-0.0568042556733554,0,0,0,-0.108339917665736,0,0,-0.0215827380316072,-0.00830847614705439,0,0,-0.00285030002586762,-0.101247048340717,0,-0.0129387799155248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0492601400507473,0,0,0,0,0,0,0,0,0,0,-0.200382150353556,0,0,0,0,0,0,0,0,0,0,-0.0721104688444196,0,0,0,0,0,-0.000735110135236678,-0.131161015532284,0,0,0,0,0,0
1,0,0,0,0,0,0,0,-0.0084999882854298,0,0,0,0,0,0,-0.0278476504362664,-0.0198372627957141,0,0,0,0,0,0,0,0,0,0,-0.209713381647058,0,-0.149340388820257,0,0,0,0,0,0,-0.024388490856661,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.186482759339924,0,0,0,0,0,-0.0384481207139393,0,0,0,0,0,0,0,0,-0.0959166264754444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,-0.0771908516735786,0,0,0,0,0,0,0.0346074494708926,0,0,0,0,-0.0230228370324084,0,0,0,0,-0.0351818459747671,0,0,-0.0743697197318049,0,0,0,0,0,0,0,0,-0.060919355444142,0,0,0,-0.00655048264868358,0,0,0,0,-0.109997246835015,-0.0204742924561265,0,0,0,0,-0.0932265065329165,0,0,0,0,0,0,-0.0693440139472113,0,0,-0.0442108478991826,0,0,0,-0.0374663954020279,0,0,-0.0816733879781535,-0.034590277534482,0,0,0,0,0,0,-0.00850049124351081,0,0,0,0,0,0,0,0,0,-0.126480125500635
1,0,0,-0.0126825883219714,0,0,0,0,-0.00294835915373397,-0.0102293851754424,0.0314683260050686,-0.0345746582463935,-0.0781131892485387,0,0,0,0,0,-0.00288561674822321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023934487951387,0,0,0,0,0,0,0,0,0,0,0,0,-0.0553298594502323,0,0,0,0,-0.0744158627985304,-0.0387953420581283,-0.0376204282600796,-0.0796731996927344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
